StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Gender_4_TEXT,age_1,marital,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_7,Ethnicity_8,Ethnicity_-99,Ethnicity_8_TEXT,Income,sex_or,Education,Moderators2_t_First Click,Moderators2_t_Last Click,Moderators2_t_Page Submit,Moderators2_t_Click Count,PROLIFIC_PID,GrpNum,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender? - Selected Choice,What is your gender? - Self Describe - Text,What is your age? - Please indicate your age here,What is your Marital Status?,Which race(s) or ethnicities best describes you? - Selected Choice - Native American or Alaska Native,Which race(s) or ethnicities best describes you? - Selected Choice - White or Caucasian,Which race(s) or ethnicities best describes you? - Selected Choice - Black or African American,Which race(s) or ethnicities best describes you? - Selected Choice - Latin or Hispanic,Which race(s) or ethnicities best describes you? - Selected Choice - East Asian,Which race(s) or ethnicities best describes you? - Selected Choice - South Asian,Which race(s) or ethnicities best describes you? - Selected Choice - Native Hawaiian or Pacific Islander,Which race(s) or ethnicities best describes you? - Selected Choice - Other,Which race(s) or ethnicities best describes you? - Selected Choice - Prefer not to answer,Which race(s) or ethnicities best describes you? - Other - Text,What is your household's annual income level?,Which of the following best describes your sexual orientation?,What is your highest completed level of education?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,PROLIFIC_PID,GrpNum,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211621992""}","{""ImportId"":""QID1211621992_5_TEXT""}","{""ImportId"":""QID1211621931_1""}","{""ImportId"":""QID1211621958""}","{""ImportId"":""QID1211621991"",""choiceId"":""1""}","{""ImportId"":""QID1211621991"",""choiceId"":""2""}","{""ImportId"":""QID1211621991"",""choiceId"":""3""}","{""ImportId"":""QID1211621991"",""choiceId"":""4""}","{""ImportId"":""QID1211621991"",""choiceId"":""5""}","{""ImportId"":""QID1211621991"",""choiceId"":""6""}","{""ImportId"":""QID1211621991"",""choiceId"":""7""}","{""ImportId"":""QID1211621991"",""choiceId"":""8""}","{""ImportId"":""QID1211621991"",""choiceId"":""-99""}","{""ImportId"":""QID1211621991_7_TEXT""}","{""ImportId"":""QID1211621913""}","{""ImportId"":""QID1211621928""}","{""ImportId"":""QID1211621914""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""GrpNum""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
4/10/2024 12:16,4/10/2024 12:16,0,76.32.201.103,100,23,1,4/10/2024 12:16,R_5fkKdejumEhyRY5,,,,,34.1438,-117.2548,anonymous,EN,2,,25,1,,,,1,,,,,,,6,3,4,1.329,21.069,22.452,7,5d2f95a51caa8f00178e2683,13,6616a611b1d4fd89aac7dfaa,6616e52bbb5d9e9842732f13
4/10/2024 12:27,4/10/2024 12:28,0,68.206.162.46,100,47,1,4/10/2024 12:28,R_17sc843FBDg5E3F,,,,,29.4614,-98.7468,anonymous,EN,1,,26,1,,,,1,,,,,,,3,1,3,1.566,45.371,47.019,24,5ff7a4be745cf64af1c7ca89,3,6616a611b1d4fd89aac7dfaa,6616e7adc2949e26982d4d65
4/10/2024 12:38,4/10/2024 12:38,0,165.123.228.145,100,20,1,4/10/2024 12:38,R_293BAH9xznf9xZL,,,,,39.9597,-75.1995,anonymous,EN,2,,27,1,,,,,1,,,,,,-99,3,4,1.03,17.425,18.785,9,60da9c1644e1f472f24dfc62,10,6616a611b1d4fd89aac7dfaa,6616ea788313009ac7fbaf09
4/10/2024 12:38,4/10/2024 12:39,0,72.203.225.242,100,27,1,4/10/2024 12:39,R_66deW4VgiAW7yr7,,,,,33.8351,-117.8652,anonymous,EN,2,,39,1,,1,,,,,,,,,2,1,5,2.836,25.017,26.891,8,5cb293204370b800134bdcf5,2,6616a611b1d4fd89aac7dfaa,6616ea6d78764af0c3fbae0b
4/10/2024 12:38,4/10/2024 12:39,0,173.20.210.138,100,28,1,4/10/2024 12:39,R_1FVWwie0JtN0cCn,,,,,41.3569,-85.0497,anonymous,EN,2,,31,2,,1,,,,,,,,,4,3,2,1.617,25.754,27.683,9,5f4575eb5017e9172787dde2,9,6616a611b1d4fd89aac7dfaa,6616ea903c8100ba821696bb
4/10/2024 12:39,4/10/2024 12:40,0,174.244.81.227,100,19,1,4/10/2024 12:40,R_7eOTJ8TOTnNNDuV,,,,,29.5359,-98.4943,anonymous,EN,2,,29,2,,1,,,,,,,,,3,1,4,1.276,17.95,18.895,15,5d4f27abc1ec740015d82e3a,17,6616a611b1d4fd89aac7dfaa,6616ead078764af0c3fbae18
4/10/2024 12:39,4/10/2024 12:40,0,73.140.46.171,100,19,1,4/10/2024 12:40,R_20Sccl4627myMzy,,,,,47.8948,-122.2031,anonymous,EN,1,,34,2,,,,1,,,,,,,6,1,4,1.078,17.788,18.201,21,660c26dee036d3234bc35ab9,16,6616a611b1d4fd89aac7dfaa,6616eadec89a95cee2420870
4/10/2024 12:40,4/10/2024 12:40,0,70.94.136.139,100,43,1,4/10/2024 12:40,R_3eTIE2uwFaDKeWZ,,,,,29.4231,-98.5705,anonymous,EN,1,,61,1,1,1,,1,,,,,,,1,1,4,3.51,34.662,42.701,9,60270b1e704fd249e21b0ae2,1,6616a611b1d4fd89aac7dfaa,6616eaa7812012bfd17b3094
